Ranch2,Tier,Block2,WestToEast
3450,1,2.2,1
3450,1,2.1,2
3450,1,1.2,3
3450,2,2.3,1
3450,2,2.4,2
3450,2,1.3,3
4390,2,1.4,4
3450,3,11.2,1
3450,3,11.1,2
3450,3,12.2,3
3450,3,12.1,4
4390,3,12.1,5
3450,4,11.4,1
3450,4,12.3,2
3450,4,12.4,3
3440,5,14.1,1
3440,5,13.2,2
3440,5,13.1,3
3440,6,14.4,1
3440,6,13.3,2
3440,6,13.4,3
3440,7,24.2,1
3440,7,24.1,2
3440,8,24.3,1
3440,8,24.4,2
3460,9,25.1,1
3460,9,30.2,2
3460,9,30.1,3
3460,10,25.4,1
3460,10,30.3,2
3460,10,30.4,3
